0.06 0.03
0.06 0.09
0.06 0.15
0.06 0.21
0.06 0.27
0.06 0.32999999999999996
0.06 0.39
0.06 0.44999999999999996
0.06 0.51
0.06 0.5700000000000001
0.06 0.63
0.06 0.69
0.06 0.75
0.06 0.81
0.06 0.87
0.06 0.9299999999999999
0.06 0.99
0.06 1.05
0.06 1.11
0.06 1.17
0.06 1.23
0.06 1.29
0.06 1.3499999999999999
0.06 1.41
0.06 1.47
0.06 1.53
0.06 1.59
0.06 1.65
0.06 1.71
0.06 1.77
0.06 1.8299999999999998
0.06 1.89
0.06 1.95
0.06 2.01
0.06 2.07
0.06 2.13
0.06 2.19
0.06 2.2499999999999996
0.06 2.3099999999999996
0.06 2.3699999999999997
0.06 2.4299999999999997
0.06 2.4899999999999998
0.06 2.55
0.06 2.61
0.06 2.6699999999999995
0.06 2.7299999999999995
0.06 2.7899999999999996
0.06 2.8499999999999996
0.06 2.9099999999999997
0.06 2.9699999999999998
0.06 3.03
0.06 3.09
0.06 3.15
0.06 3.2099999999999995
0.06 3.2699999999999996
0.06 3.3299999999999996
0.06 3.3899999999999997
0.06 3.4499999999999997
0.06 3.51
0.06 3.57
0.06 3.6299999999999994
0.06 3.6899999999999995
0.06 3.7499999999999996
0.06 3.8099999999999996
0.06 3.8699999999999997
0.06 3.9299999999999997
0.06 3.9899999999999998
0.06 4.05
0.06 4.11
0.06 4.17
0.06 4.23
0.06 4.29
0.06 4.3500000000000005
0.06 4.41
0.06 4.47
0.06 4.53
0.06 4.59
0.06 4.65
0.06 4.71
0.06 4.7700000000000005
0.06 4.83
0.06 4.89
0.06 4.95
0.06 5.01
0.06 5.07
0.06 5.13
0.06 5.19
0.06 5.25
0.06 5.31
0.06 5.37
0.06 5.43
0.06 5.49
0.06 5.55
0.06 5.61
0.06 5.67
0.06 5.73
0.06 5.79
0.06 5.85
0.06 5.91
0.06 5.97
0.03 0.03 3.232952084601998e-06
0.03 0.09 2.809909158983445e-05
0.03 0.15 7.291128889510094e-05
0.03 0.21 0.0001295122071861845
0.03 0.27 0.00018898816937592904
0.03 0.32999999999999996 0.00024382582010927406
0.03 0.39 0.00028907540078749766
0.03 0.44999999999999996 0.00032245087810872956
0.03 0.51 0.00034378521978047647
0.03 0.5700000000000001 0.0003542625635638148
0.03 0.63 0.0003557135817506929
0.03 0.69 0.0003501220912607092
0.03 0.75 0.0003393281540999914
0.03 0.81 0.0003248955117551094
0.03 0.87 0.00030807650413709135
0.03 0.9299999999999999 0.00028982994639840644
0.03 0.99 0.00027086995287481467
0.03 1.05 0.00025170896179731324
0.03 1.11 0.00023270814537580057
0.03 1.17 0.00021411646516936446
0.03 1.23 0.00019609533088728483
0.03 1.29 0.00017875193496250244
0.03 1.3499999999999999 0.00016215981693688445
0.03 1.41 0.00014635531822846705
0.03 1.47 0.00013136333439143515
0.03 1.53 0.00011720150201890539
0.03 1.59 0.0001038808375342344
0.03 1.65 9.140831386406296e-05
0.03 1.71 7.979173997269984e-05
0.03 1.77 6.903984636579216e-05
